dates,max
2012-01-02 02:00:00,1.29381
2012-01-02 03:00:00,1.29384
2012-01-02 04:00:00,1.29709
2012-01-02 05:00:00,1.29553
2012-01-02 06:00:00,1.29454
2012-01-02 07:00:00,1.29496
2012-01-02 08:00:00,1.29387
2012-01-02 09:00:00,1.29276
2012-01-02 10:00:00,1.29334
2012-01-02 11:00:00,1.29219
2012-01-02 12:00:00,1.29213
2012-01-02 13:00:00,1.29314
2012-01-02 14:00:00,1.29269
2012-01-02 15:00:00,1.29289
2012-01-02 16:00:00,1.29271
2012-01-02 17:00:00,1.29338
2012-01-02 18:00:00,1.29342
2012-01-02 19:00:00,1.29368
2012-01-02 20:00:00,1.2952
2012-01-02 21:00:00,1.29729
2012-01-02 22:00:00,1.29798
2012-01-02 23:00:00,1.29724
2012-01-03 00:00:00,1.29806
2012-01-03 01:00:00,1.29818
2012-01-03 02:00:00,1.29869
2012-01-03 03:00:00,1.29878
2012-01-03 04:00:00,1.29842
2012-01-03 05:00:00,1.30132
2012-01-03 06:00:00,1.30385
2012-01-03 07:00:00,1.30469
2012-01-03 08:00:00,1.30235
2012-01-03 09:00:00,1.30367
2012-01-03 10:00:00,1.3037
2012-01-03 11:00:00,1.30533
2012-01-03 12:00:00,1.30618
2012-01-03 13:00:00,1.305
2012-01-03 14:00:00,1.30719
2012-01-03 15:00:00,1.30568
2012-01-03 16:00:00,1.30549
2012-01-03 17:00:00,1.30539
2012-01-03 18:00:00,1.30511
2012-01-03 19:00:00,1.30539
2012-01-03 20:00:00,1.30476
2012-01-03 21:00:00,1.30465
2012-01-03 22:00:00,1.30268
2012-01-03 23:00:00,1.3039
2012-01-04 00:00:00,1.30353
2012-01-04 01:00:00,1.30339
2012-01-04 02:00:00,1.30419
2012-01-04 03:00:00,1.30443
2012-01-04 04:00:00,1.30369
2012-01-04 05:00:00,1.30385
2012-01-04 06:00:00,1.30166
2012-01-04 07:00:00,1.29752
2012-01-04 08:00:00,1.29754
2012-01-04 09:00:00,1.29357
2012-01-04 10:00:00,1.29581
2012-01-04 11:00:00,1.29106
2012-01-04 12:00:00,1.29291
2012-01-04 13:00:00,1.29529
2012-01-04 14:00:00,1.29465
2012-01-04 15:00:00,1.29372
2012-01-04 16:00:00,1.29455
2012-01-04 17:00:00,1.29417
2012-01-04 18:00:00,1.29386
2012-01-04 19:00:00,1.29304
2012-01-04 20:00:00,1.29332
2012-01-04 21:00:00,1.29223
2012-01-04 22:00:00,1.29315
2012-01-04 23:00:00,1.29287
2012-01-05 00:00:00,1.2924
2012-01-05 01:00:00,1.29164
2012-01-05 02:00:00,1.29182
2012-01-05 03:00:00,1.29405
2012-01-05 04:00:00,1.28782
2012-01-05 05:00:00,1.28634
2012-01-05 06:00:00,1.28396
2012-01-05 07:00:00,1.28382
2012-01-05 08:00:00,1.28424
2012-01-05 09:00:00,1.28135
2012-01-05 10:00:00,1.2802
2012-01-05 11:00:00,1.27937
2012-01-05 12:00:00,1.27853
2012-01-05 13:00:00,1.27946
2012-01-05 14:00:00,1.27862
2012-01-05 15:00:00,1.27853
2012-01-05 16:00:00,1.27934
2012-01-05 17:00:00,1.27871
2012-01-05 18:00:00,1.27906
2012-01-05 19:00:00,1.27936
2012-01-05 20:00:00,1.2791
2012-01-05 21:00:00,1.27954
2012-01-05 22:00:00,1.27946
2012-01-05 23:00:00,1.27968
2012-01-06 00:00:00,1.27812
2012-01-06 01:00:00,1.27704
2012-01-06 02:00:00,1.27806
2012-01-06 03:00:00,1.27793
2012-01-06 04:00:00,1.28059
2012-01-06 05:00:00,1.28013
2012-01-06 06:00:00,1.27936
2012-01-06 07:00:00,1.2794
2012-01-06 08:00:00,1.27862
2012-01-06 09:00:00,1.27338
2012-01-06 10:00:00,1.27167
2012-01-06 11:00:00,1.27157
2012-01-06 12:00:00,1.27217
2012-01-06 13:00:00,1.27206
2012-01-06 14:00:00,1.27231
2012-01-06 15:00:00,1.2723
2012-01-06 16:00:00,1.27214
2012-01-08 17:00:00,1.2696
2012-01-08 18:00:00,1.26924
2012-01-08 19:00:00,1.26822
2012-01-08 20:00:00,1.2688
2012-01-08 21:00:00,1.26901
2012-01-08 22:00:00,1.26942
2012-01-08 23:00:00,1.26858
2012-01-09 00:00:00,1.26941
2012-01-09 01:00:00,1.27056
2012-01-09 02:00:00,1.2721
2012-01-09 03:00:00,1.27433
2012-01-09 04:00:00,1.277
2012-01-09 05:00:00,1.27789
2012-01-09 06:00:00,1.27617
2012-01-09 07:00:00,1.27689
2012-01-09 08:00:00,1.2744
2012-01-09 09:00:00,1.276
2012-01-09 10:00:00,1.27396
2012-01-09 11:00:00,1.27375
2012-01-09 12:00:00,1.27455
2012-01-09 13:00:00,1.27374
2012-01-09 14:00:00,1.27522
2012-01-09 15:00:00,1.27574
2012-01-09 16:00:00,1.27723
2012-01-09 17:00:00,1.27645
2012-01-09 18:00:00,1.27695
2012-01-09 19:00:00,1.27725
2012-01-09 20:00:00,1.27649
2012-01-09 21:00:00,1.27737
2012-01-09 22:00:00,1.27665
2012-01-09 23:00:00,1.27689
2012-01-10 00:00:00,1.27836
2012-01-10 01:00:00,1.27861
2012-01-10 02:00:00,1.27857
2012-01-10 03:00:00,1.27696
2012-01-10 04:00:00,1.2768
2012-01-10 05:00:00,1.27933
2012-01-10 06:00:00,1.27971
2012-01-10 07:00:00,1.27688
2012-01-10 08:00:00,1.28026
2012-01-10 09:00:00,1.27993
2012-01-10 10:00:00,1.27903
2012-01-10 11:00:00,1.27778
2012-01-10 12:00:00,1.27837
2012-01-10 13:00:00,1.27783
2012-01-10 14:00:00,1.27796
2012-01-10 15:00:00,1.27899
2012-01-10 16:00:00,1.27733
2012-01-10 17:00:00,1.27772
2012-01-10 18:00:00,1.27712
2012-01-10 19:00:00,1.27531
2012-01-10 20:00:00,1.27476
2012-01-10 21:00:00,1.27483
2012-01-10 22:00:00,1.27378
2012-01-10 23:00:00,1.27435
2012-01-11 00:00:00,1.27425
2012-01-11 01:00:00,1.27428
2012-01-11 02:00:00,1.27575
2012-01-11 03:00:00,1.27535
2012-01-11 04:00:00,1.27782
2012-01-11 05:00:00,1.27852
2012-01-11 06:00:00,1.27599
2012-01-11 07:00:00,1.27011
2012-01-11 08:00:00,1.27215
2012-01-11 09:00:00,1.2712
2012-01-11 10:00:00,1.26778
2012-01-11 11:00:00,1.26911
2012-01-11 12:00:00,1.2688
2012-01-11 13:00:00,1.26973
2012-01-11 14:00:00,1.27033
2012-01-11 15:00:00,1.26963
2012-01-11 16:00:00,1.27066
2012-01-11 17:00:00,1.27075
2012-01-11 18:00:00,1.27086
2012-01-11 19:00:00,1.27211
2012-01-11 20:00:00,1.2713
2012-01-11 21:00:00,1.27142
2012-01-11 22:00:00,1.27262
2012-01-11 23:00:00,1.27181
2012-01-12 00:00:00,1.27163
2012-01-12 01:00:00,1.27189
