dates,min
2012-01-02 02:00:00,1.29324
2012-01-02 03:00:00,1.29378
2012-01-02 04:00:00,1.29384
2012-01-02 05:00:00,1.29549
2012-01-02 06:00:00,1.2945
2012-01-02 07:00:00,1.29467
2012-01-02 08:00:00,1.29365
2012-01-02 09:00:00,1.29262
2012-01-02 10:00:00,1.29324
2012-01-02 11:00:00,1.29203
2012-01-02 12:00:00,1.29195
2012-01-02 13:00:00,1.29242
2012-01-02 14:00:00,1.29264
2012-01-02 15:00:00,1.29278
2012-01-02 16:00:00,1.29268
2012-01-02 17:00:00,1.29334
2012-01-02 18:00:00,1.29316
2012-01-02 19:00:00,1.29347
2012-01-02 20:00:00,1.29515
2012-01-02 21:00:00,1.29712
2012-01-02 22:00:00,1.29774
2012-01-02 23:00:00,1.29716
2012-01-03 00:00:00,1.29781
2012-01-03 01:00:00,1.29765
2012-01-03 02:00:00,1.29815
2012-01-03 03:00:00,1.2985
2012-01-03 04:00:00,1.29817
2012-01-03 05:00:00,1.30083
2012-01-03 06:00:00,1.30346
2012-01-03 07:00:00,1.30434
2012-01-03 08:00:00,1.30213
2012-01-03 09:00:00,1.30311
2012-01-03 10:00:00,1.30307
2012-01-03 11:00:00,1.30514
2012-01-03 12:00:00,1.30587
2012-01-03 13:00:00,1.30471
2012-01-03 14:00:00,1.30683
2012-01-03 15:00:00,1.30548
2012-01-03 16:00:00,1.30515
2012-01-03 17:00:00,1.30485
2012-01-03 18:00:00,1.30501
2012-01-03 19:00:00,1.30526
2012-01-03 20:00:00,1.30464
2012-01-03 21:00:00,1.30457
2012-01-03 22:00:00,1.30234
2012-01-03 23:00:00,1.30361
2012-01-04 00:00:00,1.30336
2012-01-04 01:00:00,1.30313
2012-01-04 02:00:00,1.30405
2012-01-04 03:00:00,1.30401
2012-01-04 04:00:00,1.30308
2012-01-04 05:00:00,1.30368
2012-01-04 06:00:00,1.30125
2012-01-04 07:00:00,1.29677
2012-01-04 08:00:00,1.29717
2012-01-04 09:00:00,1.2931
2012-01-04 10:00:00,1.29506
2012-01-04 11:00:00,1.29054
2012-01-04 12:00:00,1.29273
2012-01-04 13:00:00,1.29472
2012-01-04 14:00:00,1.29449
2012-01-04 15:00:00,1.29353
2012-01-04 16:00:00,1.29437
2012-01-04 17:00:00,1.29384
2012-01-04 18:00:00,1.29354
2012-01-04 19:00:00,1.29286
2012-01-04 20:00:00,1.29317
2012-01-04 21:00:00,1.29197
2012-01-04 22:00:00,1.29293
2012-01-04 23:00:00,1.29272
2012-01-05 00:00:00,1.2922
2012-01-05 01:00:00,1.29147
2012-01-05 02:00:00,1.2915
2012-01-05 03:00:00,1.29335
2012-01-05 04:00:00,1.28716
2012-01-05 05:00:00,1.28606
2012-01-05 06:00:00,1.28342
2012-01-05 07:00:00,1.28356
2012-01-05 08:00:00,1.28405
2012-01-05 09:00:00,1.28072
2012-01-05 10:00:00,1.27931
2012-01-05 11:00:00,1.27917
2012-01-05 12:00:00,1.27801
2012-01-05 13:00:00,1.27913
2012-01-05 14:00:00,1.27846
2012-01-05 15:00:00,1.27792
2012-01-05 16:00:00,1.27918
2012-01-05 17:00:00,1.27853
2012-01-05 18:00:00,1.27866
2012-01-05 19:00:00,1.27911
2012-01-05 20:00:00,1.27897
2012-01-05 21:00:00,1.27929
2012-01-05 22:00:00,1.2793
2012-01-05 23:00:00,1.27949
2012-01-06 00:00:00,1.27758
2012-01-06 01:00:00,1.27685
2012-01-06 02:00:00,1.27788
2012-01-06 03:00:00,1.27725
2012-01-06 04:00:00,1.28024
2012-01-06 05:00:00,1.27975
2012-01-06 06:00:00,1.27893
2012-01-06 07:00:00,1.27913
2012-01-06 08:00:00,1.27809
2012-01-06 09:00:00,1.27238
2012-01-06 10:00:00,1.27126
2012-01-06 11:00:00,1.27127
2012-01-06 12:00:00,1.27207
2012-01-06 13:00:00,1.27192
2012-01-06 14:00:00,1.27217
2012-01-06 15:00:00,1.27213
2012-01-06 16:00:00,1.27208
2012-01-08 17:00:00,1.26946
2012-01-08 18:00:00,1.26909
2012-01-08 19:00:00,1.2678
2012-01-08 20:00:00,1.26875
2012-01-08 21:00:00,1.269
2012-01-08 22:00:00,1.26913
2012-01-08 23:00:00,1.26856
2012-01-09 00:00:00,1.26929
2012-01-09 01:00:00,1.27048
2012-01-09 02:00:00,1.27188
2012-01-09 03:00:00,1.27387
2012-01-09 04:00:00,1.27648
2012-01-09 05:00:00,1.2773
2012-01-09 06:00:00,1.27566
2012-01-09 07:00:00,1.27669
2012-01-09 08:00:00,1.27357
2012-01-09 09:00:00,1.27577
2012-01-09 10:00:00,1.27337
2012-01-09 11:00:00,1.27355
2012-01-09 12:00:00,1.27437
2012-01-09 13:00:00,1.27365
2012-01-09 14:00:00,1.27497
2012-01-09 15:00:00,1.27539
2012-01-09 16:00:00,1.27715
2012-01-09 17:00:00,1.27635
2012-01-09 18:00:00,1.27678
2012-01-09 19:00:00,1.27713
2012-01-09 20:00:00,1.27607
2012-01-09 21:00:00,1.27723
2012-01-09 22:00:00,1.27646
2012-01-09 23:00:00,1.27673
2012-01-10 00:00:00,1.27799
2012-01-10 01:00:00,1.27843
2012-01-10 02:00:00,1.27833
2012-01-10 03:00:00,1.27639
2012-01-10 04:00:00,1.27631
2012-01-10 05:00:00,1.27912
2012-01-10 06:00:00,1.27952
2012-01-10 07:00:00,1.27639
2012-01-10 08:00:00,1.28
2012-01-10 09:00:00,1.2797
2012-01-10 10:00:00,1.2785
2012-01-10 11:00:00,1.27758
2012-01-10 12:00:00,1.27808
2012-01-10 13:00:00,1.27746
2012-01-10 14:00:00,1.2779
2012-01-10 15:00:00,1.27877
2012-01-10 16:00:00,1.2769
2012-01-10 17:00:00,1.27765
2012-01-10 18:00:00,1.27686
2012-01-10 19:00:00,1.27519
2012-01-10 20:00:00,1.27464
2012-01-10 21:00:00,1.27469
2012-01-10 22:00:00,1.27355
2012-01-10 23:00:00,1.27397
2012-01-11 00:00:00,1.27398
2012-01-11 01:00:00,1.27419
2012-01-11 02:00:00,1.27558
2012-01-11 03:00:00,1.27484
2012-01-11 04:00:00,1.27754
2012-01-11 05:00:00,1.27828
2012-01-11 06:00:00,1.27586
2012-01-11 07:00:00,1.26931
2012-01-11 08:00:00,1.27158
2012-01-11 09:00:00,1.27078
2012-01-11 10:00:00,1.26727
2012-01-11 11:00:00,1.26853
2012-01-11 12:00:00,1.26851
2012-01-11 13:00:00,1.2694
2012-01-11 14:00:00,1.27019
2012-01-11 15:00:00,1.2695
2012-01-11 16:00:00,1.27044
2012-01-11 17:00:00,1.27058
2012-01-11 18:00:00,1.27072
2012-01-11 19:00:00,1.27205
2012-01-11 20:00:00,1.27116
2012-01-11 21:00:00,1.27131
2012-01-11 22:00:00,1.27248
2012-01-11 23:00:00,1.27177
2012-01-12 00:00:00,1.27159
2012-01-12 01:00:00,1.27167
2012-01-12 02:00:00,1.27146
2012-01-12 03:00:00,1.2701
2012-01-12 04:00:00,1.27148
2012-01-12 05:00:00,1.2746
2012-01-12 06:00:00,1.27555
2012-01-12 07:00:00,1.27496
2012-01-12 08:00:00,1.27535
2012-01-12 09:00:00,1.27517
2012-01-12 10:00:00,1.28126
2012-01-12 11:00:00,1.27957
2012-01-12 12:00:00,1.28167
2012-01-12 13:00:00,1.28324
2012-01-12 14:00:00,1.2832
2012-01-12 15:00:00,1.28254
2012-01-12 16:00:00,1.28248
2012-01-12 17:00:00,1.28105
2012-01-12 18:00:00,1.28131
2012-01-12 19:00:00,1.28193
2012-01-12 20:00:00,1.28166
2012-01-12 21:00:00,1.28154
2012-01-12 22:00:00,1.28192
2012-01-12 23:00:00,1.28178
2012-01-13 00:00:00,1.28287
2012-01-13 01:00:00,1.28375
2012-01-13 02:00:00,1.28565
2012-01-13 03:00:00,1.28556
2012-01-13 04:00:00,1.2836
2012-01-13 05:00:00,1.28287
2012-01-13 06:00:00,1.2789
2012-01-13 07:00:00,1.27797
2012-01-13 08:00:00,1.27706
2012-01-13 09:00:00,1.27166
2012-01-13 10:00:00,1.26745
2012-01-13 11:00:00,1.266
2012-01-13 12:00:00,1.26731
2012-01-13 13:00:00,1.26713
2012-01-13 14:00:00,1.26611
2012-01-13 15:00:00,1.26661
2012-01-13 16:00:00,1.26825
2012-01-15 17:00:00,1.26359
2012-01-15 18:00:00,1.26386
2012-01-15 19:00:00,1.26468
2012-01-15 20:00:00,1.26462
2012-01-15 21:00:00,1.26385
2012-01-15 22:00:00,1.26366
2012-01-15 23:00:00,1.26471
2012-01-16 00:00:00,1.26432
2012-01-16 01:00:00,1.26336
2012-01-16 02:00:00,1.26466
2012-01-16 03:00:00,1.26584
2012-01-16 04:00:00,1.26765
2012-01-16 05:00:00,1.26593
2012-01-16 06:00:00,1.26601
2012-01-16 07:00:00,1.26629
2012-01-16 08:00:00,1.26768
2012-01-16 09:00:00,1.26701
2012-01-16 10:00:00,1.26708
2012-01-16 11:00:00,1.26712
2012-01-16 12:00:00,1.26738
2012-01-16 13:00:00,1.26715
2012-01-16 14:00:00,1.26642
2012-01-16 15:00:00,1.26635
2012-01-16 16:00:00,1.26624
2012-01-16 17:00:00,1.26654
2012-01-16 18:00:00,1.26487
2012-01-16 19:00:00,1.2664
2012-01-16 20:00:00,1.26776
2012-01-16 21:00:00,1.27105
2012-01-16 22:00:00,1.27286
2012-01-16 23:00:00,1.27295
2012-01-17 00:00:00,1.27229
2012-01-17 01:00:00,1.27317
2012-01-17 02:00:00,1.27234
2012-01-17 03:00:00,1.27587
2012-01-17 04:00:00,1.27635
2012-01-17 05:00:00,1.27731
2012-01-17 06:00:00,1.27754
2012-01-17 07:00:00,1.27663
2012-01-17 08:00:00,1.27889
2012-01-17 09:00:00,1.27335
2012-01-17 10:00:00,1.2713
2012-01-17 11:00:00,1.27323
2012-01-17 12:00:00,1.27385
2012-01-17 13:00:00,1.27308
2012-01-17 14:00:00,1.27333
2012-01-17 15:00:00,1.27212
2012-01-17 16:00:00,1.27292
2012-01-17 17:00:00,1.27349
2012-01-17 18:00:00,1.27394
2012-01-17 19:00:00,1.2745
2012-01-17 20:00:00,1.27561
2012-01-17 21:00:00,1.27593
2012-01-17 22:00:00,1.27769
2012-01-17 23:00:00,1.27829
2012-01-18 00:00:00,1.27818
2012-01-18 01:00:00,1.27666
2012-01-18 02:00:00,1.27586
2012-01-18 03:00:00,1.27963
2012-01-18 04:00:00,1.27597
2012-01-18 05:00:00,1.27887
2012-01-18 06:00:00,1.28233
2012-01-18 07:00:00,1.28229
2012-01-18 08:00:00,1.28124
2012-01-18 09:00:00,1.27996
2012-01-18 10:00:00,1.28354
2012-01-18 11:00:00,1.28156
2012-01-18 12:00:00,1.2824
2012-01-18 13:00:00,1.28483
2012-01-18 14:00:00,1.2837
2012-01-18 15:00:00,1.28357
2012-01-18 16:00:00,1.28582
2012-01-18 17:00:00,1.28594
2012-01-18 18:00:00,1.28523
2012-01-18 19:00:00,1.28628
2012-01-18 20:00:00,1.28509
2012-01-18 21:00:00,1.28538
2012-01-18 22:00:00,1.28657
2012-01-18 23:00:00,1.28627
2012-01-19 00:00:00,1.28576
2012-01-19 01:00:00,1.28513
2012-01-19 02:00:00,1.28564
2012-01-19 03:00:00,1.28474
2012-01-19 04:00:00,1.28855
2012-01-19 05:00:00,1.28821
2012-01-19 06:00:00,1.28907
2012-01-19 07:00:00,1.29011
2012-01-19 08:00:00,1.29111
2012-01-19 09:00:00,1.29059
2012-01-19 10:00:00,1.28886
2012-01-19 11:00:00,1.28906
2012-01-19 12:00:00,1.29326
2012-01-19 13:00:00,1.29299
2012-01-19 14:00:00,1.29378
2012-01-19 15:00:00,1.29336
2012-01-19 16:00:00,1.29585
2012-01-19 17:00:00,1.29653
2012-01-19 18:00:00,1.29653
2012-01-19 19:00:00,1.29593
2012-01-19 20:00:00,1.29556
2012-01-19 21:00:00,1.29611
2012-01-19 22:00:00,1.29586
2012-01-19 23:00:00,1.29621
2012-01-20 00:00:00,1.29616
2012-01-20 01:00:00,1.29612
2012-01-20 02:00:00,1.29728
2012-01-20 03:00:00,1.29625
2012-01-20 04:00:00,1.29209
2012-01-20 05:00:00,1.28917
2012-01-20 06:00:00,1.29062
2012-01-20 07:00:00,1.29008
2012-01-20 08:00:00,1.29116
2012-01-20 09:00:00,1.29171
2012-01-20 10:00:00,1.29192
2012-01-20 11:00:00,1.29178
2012-01-20 12:00:00,1.29449
2012-01-20 13:00:00,1.29291
2012-01-20 14:00:00,1.29233
2012-01-20 15:00:00,1.29205
2012-01-20 16:00:00,1.29316
2012-01-22 17:00:00,1.28793
2012-01-22 18:00:00,1.28792
2012-01-22 19:00:00,1.2886
2012-01-22 20:00:00,1.28853
2012-01-22 21:00:00,1.28943
